Sample1,Sample2,Distance
129,662,0.230587521
129,690,0.99453755
129,710,0.153725014
129,759,0.807056325
129,771,0.571793761
129,884,0.687087521
129,985,0.4565
129,1047,0.533362507
129,1170,0.989862507
129,1249,0.687087521
129,1335,0.307450028
129,1369,0.533362507
129,1389,0.917675043
129,1487,0.610225014
129,1567,0.687087521
129,1729,0.53803755
129,1732,0.648656268
129,1812,0.422743789
129,1833,0.687087521
129,1928,0.345881282
129,2029,0.802381282
129,2117,0.53803755
129,2130,0.763950028
129,2522,0.269018775
129,2641,0.951431254
129,2664,0.4565
129,2709,0.99453755
129,2755,0.533362507
129,2824,0.99453755
129,2888,0.53803755
129,2973,0.648656268
129,3106,0.956106296
129,3138,0.038431254
129,3237,0.269018775
129,3308,0.422743789
129,3309,0.879243789
129,3463,0.951431254
129,3513,0.230587521
129,3674,0.725518775
129,3749,0.230587521
129,3797,0.192156268
129,3846,0.989862507
129,4004,0.956106296
129,4059,0
129,4092,0.802381282
129,4150,0.4565
129,4166,0.648656268
129,4215,0.802381282
129,4236,0.4565
129,4484,0.913
129,4557,0.192156268
129,4714,0.384312536
129,4810,0.571793761
129,4932,0.65333131
129,5128,0.913
129,5163,0.533362507
129,5211,0.65333131
129,5328,0.499606296
129,5438,0.076862507
129,5498,0.345881282
129,5577,0.802381282
129,5621,0.687087521
129,5630,0.610225014
129,5638,0.840812536
129,5697,0.076862507
129,5728,0.230587521
129,5730,0.65333131
129,5900,0.345881282
129,6099,0.153725014
129,6286,0.038431254
129,6330,0.840812536
129,6373,0.610225014
129,6380,0.956106296
129,6441,0.153725014
129,6491,0.422743789
129,6601,0.725518775
129,6697,0.571793761
129,6729,0.461175043
129,6751,0.571793761
129,6764,0.533362507
129,6959,0.576468803
134,1141,0.076862507
134,2423,0.802381282
134,2461,0.610225014
140,2033,0.571793761
140,2129,0.989862507
148,323,0.65333131
148,594,0.951431254
148,646,0.494931254
148,962,0.494931254
148,1240,0.725518775
148,1545,0.610225014
148,1866,0.533362507
148,2359,0.691762564
148,2883,0.917675043
148,3061,0.571793761
148,3134,0.725518775
148,3447,0.99453755
148,3587,0.4565
148,3873,0.533362507
148,5307,0.038431254
148,6510,0.725518775
148,6889,0.879243789
182,594,0.687087521
182,1240,0.913
182,1246,0.648656268
182,1849,0.571793761
182,1857,0.499606296
182,1887,0.610225014
182,2014,0.4565
182,2357,0.956106296
182,2736,0.691762564
182,2859,0.99453755
182,3040,0.533362507
182,3134,0.913
182,3669,0.840812536
